user_id,song_index,spotify_id,Arousal,Valence,GEMS_Wonder,GEMS_Transcendence,GEMS_Tenderness,GEMS_Nostalgia,GEMS_Peacefulness,GEMS_Power,GEMS_Joyful Activation,GEMS_Tension,GEMS_Sadness
3,4,3ascnOSOR5MX901ylGuhcl,0.33,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0
3,5,0gJvqi9QyASOCtJu99tytc,0.6,0.3,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
3,6,3ZdJffjzJWFimSQyxgGIxN,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
3,7,27QvYgBk0CHOVHthWnkuWt,0.55,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
3,8,1daDRI9ahBonbWD8YcxOIB,0.45,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
3,9,07ceEXOyS7ghQkyCOycXwP,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
3,10,4EWCNWgDS8707fNSZ1oaA5,0.75,0.55,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0
3,11,0TwBtDAWpkpM3srywFVOV5,0.65,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
3,12,3SnGymj6ijE2iuUfWxLo1q,0.75,0.7,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0
3,13,7Ar4G7Ci11gpt6sfH9Cgz5,0.65,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
3,14,1y4eb6hmAvsqlDOl3fx9kk,0.65,0.55,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
3,15,16pUlUFjyp6BtDtxC0i9ch,0.5,0.55,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
3,16,4YMQXzscifAREG0a7KNGhB,0.4,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
